,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2019-05-06,4,4,23,3,4,0,0,3,4,3,2,2,0
2019-05-07,5,3,24,3,7,0,9,11,13,3,2,2,0
2019-05-08,4,3,23,2,4,0,8,11,13,3,3,2,0
2019-05-09,4,3,23,3,13,0,8,10,12,3,2,2,0
2019-05-10,11,3,23,2,9,0,10,13,14,3,6,4,2
2019-05-11,13,7,24,3,5,5,9,11,12,3,2,2,0
2019-05-12,4,5,23,3,11,0,1,2,4,9,2,2,0
2019-05-13,4,3,24,2,9,2,9,12,12,2,2,2,0
2019-05-14,4,3,24,3,10,5,10,10,15,5,3,2,1
2019-05-15,4,4,24,2,11,7,9,14,14,2,10,2,2
2019-05-16,10,5,24,4,14,7,10,15,14,9,10,3,0
2019-05-17,8,3,23,10,15,7,9,10,14,3,9,5,2
2019-05-18,12,8,24,3,12,9,10,11,12,3,2,2,2
2019-05-19,5,10,23,4,15,0,4,3,4,5,10,6,9
2019-05-20,4,3,23,13,15,9,9,11,12,3,9,11,0
2019-05-21,10,3,24,5,14,0,9,12,12,10,7,3,4
2019-05-22,11,7,24,10,11,4,9,12,12,3,9,3,7
2019-05-23,10,5,24,12,13,10,9,10,12,3,11,5,2
2019-05-24,13,10,24,11,14,8,10,12,13,3,10,10,8
2019-05-25,16,10,24,11,14,7,10,12,13,10,2,2,4
2019-05-26,16,11,24,4,11,0,0,2,8,10,6,2,5
2019-05-27,14,3,24,13,14,9,11,12,14,13,13,14,10
2019-05-28,15,13,24,15,16,8,10,12,13,14,13,2,3
2019-05-29,14,6,24,11,16,5,10,12,13,12,15,1,5
2019-05-30,9,4,24,11,15,11,10,10,13,12,13,5,6
2019-05-31,10,7,24,11,16,10,10,12,13,12,12,5,7
2019-06-01,16,12,24,6,12,6,14,11,13,11,2,3,0
2019-06-02,15,11,24,3,13,0,5,2,4,10,2,1,0
2019-06-03,14,7,24,12,16,8,12,12,12,13,14,5,3
2019-06-04,13,7,24,13,17,9,13,12,12,13,14,6,3
2019-06-05,15,4,24,14,15,6,13,12,13,9,14,6,7
2019-06-06,11,12,24,14,17,9,13,12,12,17,12,10,6
2019-06-07,12,9,24,15,16,8,13,11,13,16,14,8,4
2019-06-08,16,14,24,3,10,3,9,12,12,9,2,12,0
2019-06-09,11,7,24,10,11,0,4,2,4,3,3,2,2
2019-06-10,7,3,24,8,14,0,13,12,12,9,2,2,1
2019-06-11,11,7,24,9,14,8,13,12,13,10,2,2,3
2019-06-12,11,3,24,10,13,0,12,11,12,13,6,3,2
2019-06-13,11,3,24,12,17,2,13,11,13,15,13,2,5
2019-06-14,9,10,24,14,17,8,13,12,12,13,14,7,5
2019-06-15,13,3,24,2,8,3,8,10,13,4,2,1,1
2019-06-16,14,10,24,3,15,0,4,3,4,10,2,2,6
2019-06-17,11,9,24,11,17,3,13,10,13,14,13,4,3
2019-06-18,14,10,24,12,17,0,13,12,12,14,13,7,10
2019-06-19,16,13,24,13,17,0,13,10,13,14,13,9,12
2019-06-20,13,10,24,14,16,6,13,12,12,14,14,10,10
2019-06-21,12,11,24,15,17,0,13,11,12,16,12,9,8
2019-06-22,13,11,24,12,11,10,14,10,12,10,9,2,10
2019-06-23,15,10,24,3,11,0,4,2,4,13,8,2,4
2019-06-24,13,11,24,10,15,1,13,12,14,13,5,2,4
2019-06-25,14,10,24,13,16,9,13,10,12,16,9,6,8
2019-06-26,17,10,24,15,17,8,13,12,13,13,14,8,9
2019-06-27,14,12,24,15,17,0,13,12,12,17,14,8,4
2019-06-28,15,13,24,14,18,9,13,12,13,16,11,9,10
2019-06-29,14,8,24,12,14,0,11,12,12,12,9,8,5
2019-06-30,16,9,24,2,15,0,4,2,4,12,3,3,7
2019-07-01,13,7,24,14,15,0,13,12,12,16,12,4,8
2019-07-02,13,10,24,13,17,9,13,12,12,15,12,7,11
2019-07-03,14,11,24,15,17,9,13,12,14,15,14,7,14
2019-07-04,12,11,24,15,17,3,13,12,12,17,14,4,7
2019-07-05,13,11,24,11,17,9,13,11,13,13,15,2,7
2019-07-06,13,13,23,10,12,0,11,11,13,6,2,2,8
2019-07-07,16,9,24,3,13,0,8,3,4,3,7,8,8
2019-07-08,13,9,23,12,16,6,12,11,12,13,9,3,5
2019-07-09,12,7,24,11,15,2,12,11,12,16,10,2,5
2019-07-10,13,11,24,11,16,6,11,11,12,14,12,6,3
2019-07-11,12,7,24,15,15,0,12,12,13,15,10,4,4
2019-07-12,11,6,24,13,15,8,12,10,12,13,7,8,7
2019-07-13,13,10,24,8,14,3,9,11,12,4,10,3,8
2019-07-14,15,8,24,6,4,0,4,3,4,6,3,2,9
2019-07-15,5,3,24,3,14,0,12,11,13,8,4,2,7
2019-07-16,13,7,24,11,14,9,13,12,13,16,4,4,3
2019-07-17,14,13,24,13,18,8,13,11,12,16,11,5,11
2019-07-18,16,13,24,14,15,0,13,12,13,15,15,10,11
2019-07-19,15,13,24,14,16,9,15,12,13,16,12,10,9
2019-07-20,16,10,24,3,12,9,11,12,12,12,11,4,10
2019-07-21,16,12,24,3,16,0,4,2,4,3,13,2,14
2019-07-22,13,12,24,15,16,9,13,12,13,14,15,6,8
2019-07-23,15,12,24,15,15,6,14,12,13,17,11,7,12
2019-07-24,16,12,24,14,13,9,13,10,13,16,14,10,10
2019-07-25,17,13,24,15,16,0,13,12,14,16,13,11,12
2019-07-26,14,13,24,15,16,9,13,10,12,18,14,15,14
2019-07-27,16,14,24,10,13,7,14,11,12,9,16,14,11
2019-07-28,14,13,24,3,13,0,4,2,5,11,14,3,13
2019-07-29,17,13,24,15,15,9,13,12,12,17,13,11,14
2019-07-30,17,14,24,16,16,11,13,11,12,16,13,13,12
2019-07-31,14,12,24,15,16,11,13,12,12,17,14,14,13
2019-08-01,15,13,24,15,15,11,15,12,12,17,15,19,13
2019-08-02,11,13,24,16,15,9,13,12,13,17,12,13,12
2019-08-03,16,13,24,12,13,8,13,11,13,14,12,11,14
2019-08-04,16,11,24,11,14,0,4,2,5,15,14,14,14
2019-08-05,16,13,24,16,17,10,13,12,12,16,13,14,12
2019-08-06,16,13,24,14,15,11,13,11,12,16,15,19,11
2019-08-07,16,13,24,13,15,11,13,12,13,18,13,18,14
2019-08-08,15,12,24,15,17,11,14,11,12,16,15,13,14
2019-08-09,15,13,24,15,15,11,14,12,14,15,13,18,13
2019-08-10,16,10,24,14,14,7,12,12,12,15,15,13,0
2019-08-11,16,13,24,2,14,0,3,2,5,12,12,11,10
2019-08-12,17,14,24,7,12,0,6,2,4,13,13,13,11
2019-08-13,14,13,24,16,16,11,13,12,14,16,13,16,10
2019-08-14,14,15,24,11,14,11,13,12,12,17,15,16,10
2019-08-15,15,14,24,14,16,11,13,12,13,16,13,12,14
2019-08-16,13,15,24,13,15,11,13,12,13,17,13,15,7
2019-08-17,16,15,24,11,13,7,13,12,12,11,12,18,8
2019-08-18,16,15,24,4,14,0,7,2,4,11,15,11,10
2019-08-19,15,14,24,14,15,0,13,12,14,16,15,13,9
2019-08-20,15,13,24,12,16,11,14,12,12,15,15,13,10
2019-08-21,14,13,24,14,15,11,13,11,12,18,13,14,12
2019-08-22,15,13,24,10,15,11,13,11,13,16,14,9,11
2019-08-23,15,14,24,12,15,11,13,12,15,16,14,12,10
2019-08-24,16,12,24,3,14,8,12,11,11,11,11,11,4
2019-08-25,16,10,24,3,14,0,4,2,4,14,12,3,10
2019-08-26,15,13,24,11,15,9,13,12,14,16,15,13,7
2019-08-27,14,12,24,12,17,11,13,11,12,17,13,13,10
2019-08-28,16,10,24,12,14,11,13,10,13,16,13,14,12
2019-08-29,16,12,24,14,16,10,13,12,12,16,13,14,10
2019-08-30,18,8,24,10,16,10,13,11,13,16,11,12,11
2019-08-31,17,11,24,6,14,10,13,12,13,13,13,13,12
2019-09-01,15,14,24,2,15,0,7,2,5,3,17,13,9
2019-09-02,15,13,24,15,17,11,13,12,12,12,14,14,12
2019-09-03,15,14,24,16,15,1,14,12,13,10,14,14,8
2019-09-04,16,10,24,15,17,7,13,10,13,15,14,11,11
2019-09-05,20,12,24,12,16,11,13,12,12,14,14,10,9
2019-09-06,14,14,24,12,16,10,13,12,13,15,14,12,9
2019-09-07,15,15,24,7,13,6,12,11,12,13,10,11,1
2019-09-08,16,14,24,11,12,0,4,2,4,5,12,10,11
2019-09-09,14,12,24,13,15,9,12,11,12,13,13,13,9
2019-09-10,15,13,24,13,17,11,14,11,13,17,15,14,12
2019-09-11,13,11,24,16,16,9,12,12,12,16,15,20,1
2019-09-12,16,12,24,15,17,11,13,12,13,16,13,11,9
2019-09-13,14,10,24,15,16,10,13,12,14,16,14,13,11
2019-09-14,17,10,24,3,14,6,12,10,12,5,9,7,7
2019-09-15,15,10,24,11,13,0,4,2,4,11,13,5,8
2019-09-16,17,14,24,2,13,0,13,11,12,5,11,3,6
2019-09-17,15,11,24,15,18,11,14,12,14,16,12,8,12
2019-09-18,13,12,24,13,16,11,13,11,13,17,14,7,8
2019-09-19,14,9,24,13,16,10,13,13,15,15,12,8,6
2019-09-20,15,11,24,12,17,0,13,11,12,17,10,7,10
2019-09-21,15,8,21,3,11,10,12,11,11,10,2,2,2
2019-09-22,16,9,22,5,5,0,4,3,4,6,2,2,9
2019-09-23,16,7,24,3,15,9,13,11,13,8,8,6,7
2019-09-24,16,15,24,13,17,11,13,11,13,15,13,8,2
2019-09-25,15,13,24,14,16,10,13,12,12,17,14,7,11
2019-09-26,15,12,24,13,16,11,13,15,17,16,14,7,4
2019-09-27,14,11,24,16,16,11,14,13,15,15,10,7,9
2019-09-28,16,11,24,4,12,10,13,10,14,10,2,2,8
2019-09-29,16,11,24,10,16,0,4,3,4,4,12,3,9
2019-09-30,16,11,24,16,16,7,13,12,12,16,10,11,4
2019-10-01,16,13,24,18,17,11,11,12,13,17,12,12,6
2019-10-02,14,9,24,12,16,9,11,11,13,15,12,9,10
2019-10-03,14,13,24,13,15,4,10,12,15,17,11,8,7
2019-10-04,15,12,24,13,17,9,10,12,13,16,11,9,8
2019-10-05,16,11,24,12,13,11,10,12,13,10,2,3,10
2019-10-06,14,9,24,2,10,0,0,2,4,4,11,2,5
2019-10-07,15,14,23,12,17,8,9,12,13,13,8,6,3
2019-10-08,13,11,24,8,17,9,9,11,12,16,13,5,6
2019-10-09,14,7,24,14,13,10,10,12,13,16,9,3,5
2019-10-10,15,13,24,13,15,7,9,12,14,16,9,3,6
2019-10-11,13,16,24,11,16,9,10,11,12,10,11,2,5
2019-10-12,4,3,24,2,4,0,0,3,5,3,2,2,0
2019-10-13,4,5,24,3,12,0,0,2,4,11,2,2,0
2019-10-14,13,3,24,3,4,9,5,11,12,5,3,2,4
2019-10-15,14,13,23,4,16,2,10,12,13,9,2,1,6
2019-10-16,10,9,24,4,10,2,10,11,13,7,2,2,1
2019-10-17,7,6,24,2,13,3,10,12,16,9,3,2,2
2019-10-18,11,6,24,3,12,0,10,11,13,9,2,2,1
2019-10-19,10,7,23,2,4,6,7,12,13,4,2,2,0
2019-10-20,13,10,23,3,7,0,0,2,4,8,2,2,4
2019-10-21,10,12,24,2,12,8,9,12,12,3,3,2,4
2019-10-22,10,3,24,3,9,0,0,2,4,3,2,2,0
2019-10-23,13,6,23,2,15,3,9,14,15,9,2,2,8
2019-10-24,9,5,24,3,12,0,9,11,13,7,2,2,2
2019-10-25,8,12,24,2,11,0,8,12,13,10,3,2,0
2019-10-26,13,4,24,3,4,7,9,10,13,7,2,2,0
2019-10-27,12,5,24,2,10,0,0,3,4,3,2,2,2
2019-10-28,10,5,23,3,11,0,9,12,14,3,2,2,5
2019-10-29,12,6,24,2,10,0,9,10,13,3,3,2,2
2019-10-30,6,4,23,3,8,4,9,11,12,5,2,2,4
2019-10-31,4,3,23,2,11,0,9,11,13,3,2,1,0
2019-11-01,4,4,24,2,11,0,9,12,14,3,3,2,3
2019-11-02,4,5,24,3,4,6,9,10,13,5,2,2,0
2019-11-03,8,3,24,2,7,0,0,2,4,7,2,2,0
2019-11-04,4,4,24,3,4,0,8,11,12,10,2,2,3
2019-11-05,7,3,24,2,6,0,9,11,13,2,3,6,9
2019-11-06,12,3,24,3,8,0,9,11,12,3,3,2,4
2019-11-07,9,4,24,2,6,0,9,13,13,3,2,3,1
2019-11-08,11,5,24,3,6,0,9,11,12,3,2,2,0
2019-11-09,8,5,24,2,4,9,8,9,11,3,2,8,0
2019-11-10,5,3,24,2,8,0,0,2,4,11,3,7,0
2019-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-12,4,3,24,2,5,0,9,11,13,3,2,2,0
2019-11-13,9,12,24,3,5,0,7,12,13,3,2,2,0
2019-11-14,6,3,24,2,4,0,6,12,13,3,3,3,0
2019-11-15,7,3,24,3,5,0,8,10,12,3,2,10,0
2019-11-16,5,10,24,2,4,0,0,11,12,3,2,13,0
2019-11-17,11,4,24,2,4,0,0,3,4,3,2,11,9
2019-11-18,8,12,24,3,5,0,9,10,13,3,2,2,1
2019-11-19,4,3,24,2,4,0,9,12,12,3,3,2,1
2019-11-20,12,7,24,3,5,0,7,11,12,3,2,8,1
2019-11-21,12,3,24,7,4,0,4,10,13,3,2,9,1
2019-11-22,12,8,24,12,5,0,0,11,12,3,7,16,1
2019-11-23,8,3,24,11,6,0,0,6,12,4,15,15,9
2019-11-24,11,7,24,11,4,1,1,4,6,3,2,5,1
2019-11-25,6,11,24,2,5,0,8,11,12,4,3,5,1
2019-11-26,7,3,24,12,4,0,0,11,12,3,2,9,1
2019-11-27,12,3,24,2,5,0,0,12,12,3,3,9,3
2019-11-28,13,5,23,8,4,0,0,12,13,3,2,11,1
2019-11-29,12,14,23,6,5,0,2,10,12,4,3,12,1
2019-11-30,6,12,22,9,5,0,0,11,12,4,2,9,1
2019-12-01,12,11,24,11,4,0,0,2,4,3,14,12,1
2019-12-02,10,8,24,8,6,0,0,11,12,3,8,12,12
2019-12-03,4,14,24,3,5,0,0,11,13,3,11,11,2
2019-12-04,13,15,24,2,6,0,2,10,13,4,10,11,5
2019-12-05,12,12,24,3,8,0,2,12,12,3,3,12,1
2019-12-06,12,16,24,11,7,0,0,11,13,3,9,12,7
2019-12-07,11,10,24,10,4,0,0,11,12,10,15,20,15
2019-12-08,12,3,23,3,14,0,0,2,4,4,19,13,3
2019-12-09,12,13,24,11,8,0,0,9,13,3,10,11,9
2019-12-10,7,14,24,7,4,0,0,10,12,4,4,12,4
2019-12-11,8,10,24,3,5,0,0,12,14,3,10,11,12
2019-12-12,13,6,24,3,4,0,0,12,16,7,5,9,1
2019-12-13,13,10,24,3,5,0,0,11,15,12,12,14,2
2019-12-14,9,3,24,11,5,0,0,10,12,3,12,14,2
2019-12-15,11,11,24,11,5,0,0,3,4,4,18,11,7
2019-12-16,8,11,23,9,5,0,0,10,12,3,9,12,2
2019-12-17,11,13,24,3,7,0,0,10,13,12,8,11,3
2019-12-18,12,12,24,3,6,0,0,11,13,3,6,10,4
2019-12-19,15,12,24,6,5,1,0,10,13,3,3,13,3
2019-12-20,8,13,24,2,5,0,0,11,12,4,9,11,3
2019-12-21,6,4,23,10,5,0,0,11,12,10,20,17,11
2019-12-22,12,10,19,3,5,0,0,2,4,12,23,13,14
2019-12-23,15,8,23,12,5,3,0,10,13,11,14,11,3
2019-12-24,12,15,24,11,4,0,0,10,12,7,8,12,11
2019-12-25,12,13,23,12,5,0,2,11,12,14,17,14,9
2019-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-27,13,10,24,13,5,0,0,11,13,6,16,12,9
2019-12-28,12,5,24,12,4,0,0,12,4,16,16,12,2
2019-12-29,5,4,22,3,5,0,0,2,4,4,13,12,4
2019-12-30,4,3,22,3,4,0,0,2,4,6,11,11,1
2019-12-31,4,3,22,2,5,0,0,3,4,4,6,10,1
2020-01-01,5,3,21,3,4,0,0,2,4,3,2,3,1
2020-01-02,4,3,21,3,5,0,0,2,5,3,2,2,2
2020-01-03,5,3,20,2,4,0,0,2,4,3,3,2,1
2020-01-04,15,15,23,3,14,0,0,3,4,15,12,12,13
2020-01-05,15,12,22,10,13,0,0,2,4,8,15,13,2
2020-01-06,8,11,22,14,14,9,0,4,5,15,17,14,12
2020-01-07,15,15,22,14,12,9,0,9,10,13,11,13,1
2020-01-08,15,13,22,13,10,9,0,9,11,13,18,13,11
2020-01-09,4,12,24,10,4,0,0,11,12,6,14,11,8
2020-01-10,10,17,24,10,5,0,0,11,12,15,11,9,1
2020-01-11,18,11,24,11,6,0,0,9,12,17,11,10,10
2020-01-12,12,10,24,2,5,0,0,2,4,5,19,13,10
2020-01-13,14,14,24,11,5,0,0,3,9,6,17,11,14
2020-01-14,8,14,24,11,4,3,0,9,12,14,11,12,8
2020-01-15,15,8,24,7,8,4,0,11,13,14,13,12,6
2020-01-16,13,14,24,11,6,0,0,10,12,13,4,11,3
2020-01-17,7,9,24,12,5,0,0,11,12,11,10,13,1
2020-01-18,13,14,23,9,5,2,0,9,12,13,20,16,16
2020-01-19,15,15,22,3,11,0,0,2,5,7,19,14,9
2020-01-20,11,12,24,11,9,4,0,9,11,8,12,10,2
2020-01-21,7,13,20,7,11,0,0,8,12,5,11,12,5
2020-01-22,13,16,24,12,15,6,0,9,12,4,11,9,11
2020-01-23,13,12,24,12,12,5,0,11,12,16,11,11,10
2020-01-24,6,5,24,7,4,1,0,10,14,6,12,12,10
2020-01-25,15,11,23,11,14,0,0,10,11,15,20,13,1
2020-01-26,14,15,24,12,10,0,0,2,5,13,20,12,13
2020-01-27,11,9,24,14,6,8,0,9,11,16,13,12,5
2020-01-28,11,11,24,12,9,6,7,11,12,13,17,13,1
2020-01-29,12,8,24,6,5,0,3,11,12,3,11,16,8
2020-01-30,13,13,24,6,4,0,4,10,12,4,3,12,13
2020-01-31,5,12,24,7,5,0,2,12,13,4,11,13,2
2020-02-01,16,12,24,10,5,0,0,9,12,3,6,19,6
2020-02-02,11,14,24,11,9,0,0,2,4,5,13,12,8
2020-02-03,13,10,24,10,7,0,11,10,12,7,11,11,1
2020-02-04,16,15,24,8,6,0,11,9,12,13,3,11,1
2020-02-05,12,12,24,6,6,0,11,11,12,14,9,10,7
2020-02-06,13,17,24,15,7,0,4,9,12,8,12,14,1
2020-02-07,13,15,24,12,13,1,11,10,12,13,11,14,8
2020-02-08,14,9,22,11,6,0,0,6,12,11,13,13,6
2020-02-09,14,14,23,2,14,0,0,3,4,5,10,11,3
2020-02-10,14,17,24,14,7,0,13,9,11,13,11,14,6
2020-02-11,14,3,24,12,8,0,0,10,12,7,14,20,14
2020-02-12,9,13,24,12,6,0,11,10,11,3,11,10,4
2020-02-13,8,4,23,10,6,0,8,11,13,3,11,12,9
2020-02-14,7,8,24,7,5,0,0,11,13,3,2,11,1
2020-02-15,15,8,24,3,5,0,0,10,12,3,5,11,1
2020-02-16,13,11,24,3,10,0,0,2,4,15,12,12,11
2020-02-17,8,7,24,8,6,0,0,11,12,3,10,12,2
2020-02-18,8,11,23,7,6,0,0,11,12,4,3,14,10
2020-02-19,9,5,24,8,6,0,0,10,12,3,12,11,3
2020-02-20,12,7,24,6,5,0,0,11,13,5,11,13,1
2020-02-21,10,16,24,7,4,0,0,11,13,3,8,5,2
2020-02-22,17,3,24,8,5,0,0,10,12,5,6,14,2
2020-02-23,9,12,24,3,5,0,0,2,4,3,6,11,2
2020-02-24,11,3,24,8,4,0,0,8,7,5,12,11,1
2020-02-25,9,9,24,9,6,0,0,11,12,3,2,11,1
2020-02-26,13,10,24,13,5,0,0,11,12,4,11,11,12
2020-02-27,12,14,24,11,6,0,0,10,13,3,11,12,1
2020-02-28,13,13,24,7,7,0,0,9,12,3,10,11,1
2020-02-29,15,9,24,3,4,0,0,6,12,3,10,3,1
2020-03-01,16,14,23,3,12,0,0,2,4,5,12,11,1
2020-03-02,6,5,24,13,9,0,0,10,12,4,9,12,10
2020-03-03,6,11,24,6,5,0,0,11,13,3,3,12,2
2020-03-04,12,12,24,11,4,0,0,12,13,7,2,10,3
2020-03-05,14,9,24,10,5,0,0,11,12,3,7,10,1
2020-03-06,15,13,24,3,5,0,0,10,12,3,9,13,1
2020-03-07,7,16,24,11,5,0,0,6,12,11,2,4,12
2020-03-08,15,11,24,3,13,0,0,2,4,12,12,13,9
2020-03-09,14,12,24,7,5,0,0,9,12,3,13,13,6
2020-03-10,6,7,24,6,5,0,0,12,12,3,5,12,1
2020-03-11,8,13,24,3,4,0,0,12,12,3,2,2,1
2020-03-12,13,5,24,3,5,0,0,11,13,4,4,12,1
2020-03-13,12,11,24,2,4,0,0,12,13,3,5,13,2
2020-03-14,5,12,24,10,5,0,0,6,13,11,11,11,7
2020-03-15,13,11,24,5,4,0,0,3,5,3,2,11,10
2020-03-16,14,12,23,11,5,0,0,9,11,3,13,12,7
2020-03-17,15,14,24,13,4,0,0,9,12,4,12,14,2
2020-03-18,13,14,24,3,5,0,0,10,13,3,12,12,1
2020-03-19,7,3,24,2,4,0,4,12,13,3,13,13,1
2020-03-20,5,3,24,5,5,0,0,10,12,5,11,10,1
2020-03-21,5,8,24,3,4,0,0,10,12,4,11,13,1
2020-03-22,5,12,24,3,5,0,0,2,4,3,2,2,6
2020-03-23,11,8,24,12,4,0,0,11,13,3,6,13,5
2020-03-24,6,12,24,13,5,0,0,11,12,3,2,11,11
2020-03-25,12,10,24,12,4,0,0,11,12,3,13,14,3
2020-03-26,10,11,24,10,5,0,2,12,12,3,9,11,1
2020-03-27,6,9,24,2,5,0,5,11,12,4,5,12,1
2020-03-28,12,3,24,5,4,0,0,10,11,5,8,11,10
2020-03-29,16,11,24,8,5,0,0,3,4,12,13,13,11
2020-03-30,11,12,23,11,4,0,0,10,12,3,13,13,1
2020-03-31,13,15,23,12,5,0,0,11,13,3,12,12,1
2020-04-01,15,8,24,3,4,0,0,11,13,3,10,13,1
2020-04-02,16,7,24,11,5,0,0,10,12,3,3,10,1
2020-04-03,15,6,24,7,4,0,0,11,12,4,2,2,1
2020-04-04,9,13,24,3,5,0,0,12,13,4,9,13,1
2020-04-05,16,12,24,2,4,0,0,2,4,11,3,11,10
2020-04-06,11,10,24,3,5,0,0,11,12,3,2,12,1
2020-04-07,11,6,24,3,5,0,0,11,12,3,3,12,1
2020-04-08,12,14,24,2,4,0,0,12,14,3,2,11,1
2020-04-09,8,10,24,3,5,0,0,12,12,3,3,13,5
2020-04-10,7,8,24,3,4,0,0,11,12,4,11,14,10
2020-04-11,16,15,24,2,5,0,0,11,4,4,9,10,8
2020-04-12,17,12,23,3,5,0,0,2,4,5,11,13,6
2020-04-13,13,15,24,13,4,0,2,10,13,3,3,11,12
2020-04-14,7,14,24,2,5,0,4,11,13,4,2,19,6
2020-04-15,7,14,23,3,6,0,0,11,12,3,3,2,2
2020-04-16,10,14,24,3,5,0,2,11,13,3,2,3,1
2020-04-17,10,15,23,2,6,0,0,12,13,3,2,4,1
2020-04-18,16,11,24,3,4,0,0,11,12,7,9,14,1
2020-04-19,9,14,24,3,5,0,0,2,5,4,2,9,1
2020-04-20,11,12,24,2,4,0,0,8,13,3,3,8,1
2020-04-21,4,14,24,3,5,0,0,11,12,3,2,3,0
2020-04-22,10,15,24,3,4,0,0,11,12,3,3,2,0
2020-04-23,10,13,24,2,5,0,0,12,13,4,2,3,0
2020-04-24,11,15,24,3,4,0,0,11,13,3,3,2,0
2020-04-25,23,14,24,3,4,0,0,8,13,3,2,2,0
2020-04-26,8,5,22,2,5,0,0,2,4,3,2,2,0
2020-04-27,8,14,24,3,4,0,3,11,12,3,3,3,0
2020-04-28,6,11,24,3,5,0,2,10,13,4,2,2,0
2020-04-29,15,6,23,2,4,0,9,3,12,3,3,2,0
2020-04-30,4,3,24,3,5,0,7,11,12,3,2,2,0
2020-05-01,4,6,23,3,4,0,5,12,12,3,3,3,0
2020-05-02,7,3,23,4,4,0,9,2,12,3,2,2,0
2020-05-03,12,4,23,3,5,0,0,2,4,4,3,2,0
2020-05-04,13,6,22,2,4,0,0,11,13,3,2,2,0
2020-05-05,4,3,23,4,5,5,8,11,12,3,3,2,1
2020-05-06,12,13,24,3,4,0,0,10,12,3,2,3,0
2020-05-07,4,3,23,2,5,0,0,12,13,3,2,2,0
2020-05-08,9,8,23,2,4,0,0,10,12,3,3,2,0
2020-05-09,4,4,22,3,4,0,4,3,12,4,2,2,0
2020-05-10,8,3,24,2,5,0,0,2,4,3,3,2,0
2020-05-11,12,7,24,4,10,4,9,12,12,9,9,4,5
2020-05-12,9,3,24,6,11,9,9,11,12,3,2,2,4
2020-05-13,13,3,24,10,12,4,9,12,14,3,2,2,4
2020-05-14,11,3,24,7,13,6,9,12,14,3,2,2,5
2020-05-15,13,3,23,6,14,0,9,11,14,3,2,2,8
2020-05-16,8,6,22,3,4,0,1,3,13,2,3,2,0
2020-05-17,11,3,24,2,7,0,0,2,5,3,2,2,0
2020-05-18,5,3,24,3,11,0,10,14,13,3,2,2,6
2020-05-19,8,12,24,2,13,0,9,10,13,3,2,2,0
2020-05-20,10,14,24,2,7,0,0,11,14,3,2,2,0
2020-05-21,8,14,24,3,10,0,0,12,13,3,3,2,0
2020-05-22,6,11,24,2,6,0,1,12,13,3,2,2,0
2020-05-23,9,3,23,3,4,0,2,11,13,3,2,2,0
2020-05-24,5,3,22,2,4,0,0,2,5,3,2,2,0
2020-05-25,4,3,24,3,12,0,9,11,13,3,2,2,4
2020-05-26,7,4,24,2,17,6,9,12,13,3,5,2,0
2020-05-27,5,3,24,3,14,8,9,12,13,3,6,2,9
2020-05-28,4,3,24,4,12,8,8,12,13,3,2,2,2
2020-05-29,9,5,23,4,15,2,9,11,12,3,2,2,5
2020-05-30,10,10,23,2,8,8,8,12,13,3,2,1,3
2020-05-31,5,6,24,3,7,0,0,2,4,3,3,2,3
2020-06-01,4,6,24,7,13,9,11,12,13,3,10,2,0
2020-06-02,9,3,24,7,12,9,11,11,13,13,11,2,3
2020-06-03,15,7,24,9,12,10,12,12,13,12,11,2,7
2020-06-04,11,9,24,10,15,5,11,12,13,13,10,2,9
2020-06-05,13,13,24,12,16,6,11,11,13,13,13,2,7
2020-06-06,16,11,24,11,12,9,11,11,12,11,10,2,0
