ì˙éû,ã§ópïî,êÍóLïî,çáåv
2018/4/1,7,59,66
2018/4/2,7,86,93
2018/4/3,5,89,94
2018/4/4,6,92,98
2018/4/5,10,95,105
2018/4/6,7,97,104
2018/4/7,5,72,77
2018/4/8,6,63,69
2018/4/9,10,88,98
2018/4/10,12,79,91
2018/4/11,11,93,104
2018/4/12,13,93,106
2018/4/13,9,89,98
2018/4/14,8,79,87
2018/4/15,10,52,62
2018/4/16,9,83,92
2018/4/17,21,86,107
2018/4/18,17,75,92
2018/4/19,12,86,98
2018/4/20,12,90,102
2018/4/21,11,65,76
2018/4/22,11,54,65
2018/4/23,9,86,95
2018/4/24,15,94,109
2018/4/25,11,91,102
2018/4/26,12,101,113
2018/4/27,14,93,107
2018/4/28,8,87,95
2018/4/29,9,58,67
2018/4/30,8,78,86
2018/5/1,26,101,127
2018/5/2,17,117,134
2018/5/3,7,97,104
2018/5/4,10,90,100
2018/5/5,8,77,85
2018/5/6,7,56,63
2018/5/7,12,106,118
2018/5/8,10,81,91
2018/5/9,10,70,80
2018/5/10,9,77,86
2018/5/11,12,76,88
2018/5/12,6,84,90
2018/5/13,12,67,79
2018/5/14,21,104,125
2018/5/15,24,130,154
2018/5/16,27,131,158
2018/5/17,32,145,177
2018/5/18,36,164,200
2018/5/19,14,123,137
2018/5/20,9,73,82
2018/5/21,23,128,151
2018/5/22,22,134,156
2018/5/23,17,122,139
2018/5/24,19,140,159
2018/5/25,26,147,173
2018/5/26,15,108,123
2018/5/27,13,87,100
2018/5/28,19,146,165
2018/5/29,25,144,169
2018/5/30,20,130,150
2018/5/31,18,120,138
2018/6/1,23,133,156
2018/6/2,16,114,130
2018/6/3,9,80,89
2018/6/4,35,162,197
2018/6/5,33,160,193
2018/6/6,20,153,173
2018/6/7,31,153,184
2018/6/8,35,161,196
2018/6/9,16,124,140
2018/6/10,8,79,87
2018/6/11,16,139,155
2018/6/12,17,154,171
2018/6/13,19,157,176
2018/6/14,17,147,164
2018/6/15,13,123,136
2018/6/16,8,83,91
2018/6/17,9,60,69
2018/6/18,13,112,125
2018/6/19,26,140,166
2018/6/20,19,127,146
2018/6/21,18,135,153
2018/6/22,34,156,190
2018/6/23,16,101,117
2018/6/24,21,61,82
2018/6/25,42,155,197
2018/6/26,44,168,212
2018/6/27,55,172,227
2018/6/28,56,165,221
2018/6/29,55,172,227
2018/6/30,16,148,164
2018/7/1,13,112,125
2018/7/2,61,177,238
2018/7/3,59,175,234
2018/7/4,58,178,236
2018/7/5,55,173,228
2018/7/6,23,160,183
2018/7/7,15,136,151
2018/7/8,15,124,139
2018/7/9,53,176,229
2018/7/10,56,178,234
2018/7/11,56,183,239
2018/7/12,53,173,226
2018/7/13,60,187,247
2018/7/14,17,156,173
2018/7/15,13,116,129
2018/7/16,12,160,172
2018/7/17,39,186,225
2018/7/18,34,179,213
2018/7/19,29,178,207
2018/7/20,36,188,224
2018/7/21,17,171,188
2018/7/22,15,118,133
2018/7/23,26,178,204
2018/7/24,53,187,240
2018/7/25,53,190,243
2018/7/26,50,188,238
2018/7/27,47,176,223
2018/7/28,15,131,146
2018/7/29,12,122,134
2018/7/30,51,175,226
2018/7/31,52,185,237
2018/8/1,53,181,234
2018/8/2,51,180,231
2018/8/3,52,186,238
2018/8/4,14,151,165
2018/8/5,15,136,151
2018/8/6,55,183,238
2018/8/7,23,164,187
2018/8/8,36,161,197
2018/8/9,45,166,211
2018/8/10,58,179,237
2018/8/11,12,146,158
2018/8/12,13,87,100
2018/8/13,50,170,220
2018/8/14,52,172,224
2018/8/15,53,178,231
2018/8/16,55,173,228
2018/8/17,46,180,226
2018/8/18,11,139,150
2018/8/19,14,92,106
2018/8/20,41,162,203
2018/8/21,51,168,219
2018/8/22,51,166,217
2018/8/23,56,172,228
2018/8/24,52,177,229
2018/8/25,14,167,181
2018/8/26,13,134,147
2018/8/27,52,179,231
2018/8/28,56,183,239
2018/8/29,53,182,235
2018/8/30,58,176,234
2018/8/31,57,174,231
2018/9/1,15,127,142
2018/9/2,12,95,107
2018/9/3,33,161,194
2018/9/4,49,164,213
2018/9/5,53,170,223
2018/9/6,54,167,221
2018/9/7,55,163,218
2018/9/8,13,141,154
2018/9/9,14,114,128
2018/9/10,54,172,226
2018/9/11,20,151,171
2018/9/12,19,148,167
2018/9/13,28,146,174
2018/9/14,21,148,169
2018/9/15,11,103,114
2018/9/16,13,69,82
2018/9/17,12,89,101
2018/9/18,41,163,204
2018/9/19,25,155,180
2018/9/20,20,146,166
2018/9/21,17,122,139
2018/9/22,10,99,109
2018/9/23,13,74,87
2018/9/24,12,69,81
2018/9/25,21,143,164
2018/9/26,14,108,122
2018/9/27,12,107,119
2018/9/28,17,121,138
2018/9/29,11,92,103
2018/9/30,9,56,65
2018/10/1,43,145,188
2018/10/2,22,141,163
2018/10/3,17,129,146
2018/10/4,17,122,139
2018/10/5,17,116,133
2018/10/6,12,97,109
2018/10/7,13,97,110
2018/10/8,12,122,134
2018/10/9,21,136,157
2018/10/10,20,145,165
2018/10/11,18,131,149
2018/10/12,17,119,136
2018/10/13,12,74,86
2018/10/14,9,53,62
2018/10/15,15,93,108
2018/10/16,11,108,119
2018/10/17,13,103,116
2018/10/18,12,99,111
2018/10/19,12,94,106
2018/10/20,9,89,98
2018/10/21,8,47,55
2018/10/22,12,94,106
2018/10/23,11,88,99
2018/10/24,12,90,102
2018/10/25,11,86,97
2018/10/26,12,100,112
2018/10/27,9,74,83
2018/10/28,8,47,55
2018/10/29,13,101,114
2018/10/30,11,101,112
2018/10/31,11,88,99
2018/11/1,9,80,89
2018/11/2,10,85,95
2018/11/3,9,80,89
2018/11/4,8,52,60
2018/11/5,9,86,95
2018/11/6,10,85,95
2018/11/7,11,85,96
2018/11/8,8,86,94
2018/11/9,12,86,98
2018/11/10,8,80,88
2018/11/11,8,50,58
2018/11/12,10,75,85
2018/11/13,9,85,94
2018/11/14,9,71,80
2018/11/15,10,82,92
2018/11/16,8,93,101
2018/11/17,9,81,90
2018/11/18,8,59,67
2018/11/19,9,81,90
2018/11/20,9,94,103
2018/11/21,9,81,90
2018/11/22,8,82,90
2018/11/23,6,34,40
2018/11/24,21,110,131
2018/11/25,10,97,107
2018/11/26,27,97,124
2018/11/27,24,111,135
2018/11/28,18,90,108
2018/11/29,26,93,119
2018/11/30,28,84,112
2018/12/1,12,102,114
2018/12/2,10,102,112
2018/12/3,25,84,109
2018/12/4,18,95,113
2018/12/5,9,95,104
2018/12/6,44,85,129
2018/12/7,23,94,117
2018/12/8,10,93,103
2018/12/9,9,109,118
2018/12/10,54,117,171
2018/12/11,58,108,166
2018/12/12,56,153,209
2018/12/13,57,124,181
2018/12/14,57,127,184
2018/12/15,10,122,132
2018/12/16,13,125,138
2018/12/17,57,120,177
2018/12/18,58,116,174
2018/12/19,56,118,174
2018/12/20,48,132,180
2018/12/21,52,120,172
2018/12/22,14,105,119
2018/12/23,11,103,114
2018/12/24,8,118,126
2018/12/25,57,129,186
2018/12/26,57,133,190
2018/12/27,58,119,177
2018/12/28,54,135,189
2018/12/29,13,101,114
2018/12/30,8,88,96
2018/12/31,11,52,63
2019/1/1,10,53,63
2019/1/2,9,51,60
2019/1/3,11,57,68
2019/1/4,57,88,145
2019/1/5,11,122,133
2019/1/6,10,123,133
2019/1/7,55,141,196
2019/1/8,56,146,202
2019/1/9,58,161,219
2019/1/10,57,151,208
2019/1/11,58,123,181
2019/1/12,14,157,171
2019/1/13,10,117,127
2019/1/14,10,130,140
2019/1/15,55,152,207
2019/1/16,57,127,184
2019/1/17,56,125,181
2019/1/18,56,120,176
2019/1/19,19,134,153
2019/1/20,14,123,137
2019/1/21,57,134,191
2019/1/22,54,126,180
2019/1/23,57,136,193
2019/1/24,54,122,176
2019/1/25,57,125,182
2019/1/26,14,128,142
2019/1/27,11,107,118
2019/1/28,58,136,194
2019/1/29,56,130,186
2019/1/30,55,129,184
2019/1/31,57,135,192
2019/2/1,57,125,182
2019/2/2,9,124,133
2019/2/3,19,85,104
2019/2/4,35,117,152
2019/2/5,57,120,177
2019/2/6,57,135,192
2019/2/7,49,121,170
2019/2/8,54,120,174
2019/2/9,9,131,140
2019/2/10,10,106,116
2019/2/11,11,129,140
2019/2/12,55,138,193
2019/2/13,55,149,204
2019/2/14,58,139,197
2019/2/15,54,155,209
2019/2/16,16,117,133
2019/2/17,9,110,119
2019/2/18,56,133,189
2019/2/19,59,140,199
2019/2/20,30,105,135
2019/2/21,48,110,158
2019/2/22,49,102,151
2019/2/23,10,95,105
2019/2/24,8,86,94
2019/2/25,38,116,154
2019/2/26,49,111,160
2019/2/27,57,111,168
2019/2/28,58,113,171
2019/3/1,53,104,157
2019/3/2,15,116,131
2019/3/3,10,104,114
2019/3/4,54,116,170
2019/3/5,51,99,150
2019/3/6,48,114,162
2019/3/7,54,109,163
2019/3/8,57,101,158
2019/3/9,13,77,90
2019/3/10,9,90,99
2019/3/11,36,109,145
2019/3/12,28,94,122
2019/3/13,25,94,119
2019/3/14,42,114,156
2019/3/15,41,116,157
2019/3/16,12,85,97
2019/3/17,9,93,102
2019/3/18,44,110,154
2019/3/19,27,83,110
2019/3/20,23,87,110
2019/3/21,9,77,86
2019/3/22,9,78,87
2019/3/23,10,105,115
2019/3/24,10,92,102
2019/3/25,44,86,130
2019/3/26,40,77,117
2019/3/27,23,88,111
2019/3/28,21,90,111
2019/3/29,51,102,153
2019/3/30,11,87,98
2019/3/31,9,74,83
2019/4/1,51,82,133
2019/4/2,58,105,163
2019/4/3,55,108,163
2019/4/4,34,104,138
2019/4/5,16,84,100
2019/4/6,9,82,91
2019/4/7,12,63,75
2019/4/8,42,86,128
2019/4/9,33,82,115
2019/4/10,54,116,170
2019/4/11,45,100,145
2019/4/12,48,102,150
2019/4/13,14,105,119
2019/4/14,8,83,91
2019/4/15,14,77,91
2019/4/16,17,84,101
2019/4/17,8,78,86
2019/4/18,12,84,96
2019/4/19,12,85,97
2019/4/20,10,80,90
2019/4/21,11,61,72
2019/4/22,13,86,99
2019/4/23,14,96,110
2019/4/24,12,89,101
2019/4/25,13,105,118
2019/4/26,19,99,118
2019/4/27,9,85,94
2019/4/28,11,64,75
2019/4/29,8,59,67
2019/4/30,10,88,98
2019/5/1,10,58,68
2019/5/2,10,92,102
2019/5/3,11,83,94
2019/5/4,8,76,84
2019/5/5,9,49,58
2019/5/6,10,52,62
2019/5/7,8,82,90
2019/5/8,12,76,88
2019/5/9,13,83,96
2019/5/10,8,100,108
2019/5/11,17,96,113
2019/5/12,12,66,78
2019/5/13,12,83,95
2019/5/14,11,95,106
2019/5/15,9,105,114
2019/5/16,13,125,138
2019/5/17,17,118,135
2019/5/18,15,110,125
2019/5/19,10,98,108
2019/5/20,17,122,139
2019/5/21,18,113,131
2019/5/22,17,122,139
2019/5/23,15,126,141
2019/5/24,17,146,163
2019/5/25,11,135,146
2019/5/26,13,99,112
2019/5/27,19,164,183
2019/5/28,20,158,178
2019/5/29,19,144,163
2019/5/30,18,143,161
2019/5/31,14,149,163
2019/6/1,10,130,140
2019/6/2,10,90,100
2019/6/3,16,152,168
2019/6/4,18,156,174
2019/6/5,15,152,167
2019/6/6,18,169,187
2019/6/7,17,163,180
2019/6/8,10,126,136
2019/6/9,9,83,92
2019/6/10,11,107,118
2019/6/11,12,128,140
2019/6/12,14,120,134
2019/6/13,16,141,157
2019/6/14,17,158,175
2019/6/15,9,92,101
2019/6/16,9,97,106
2019/6/17,18,145,163
2019/6/18,19,158,177
2019/6/19,17,167,184
2019/6/20,18,168,186
2019/6/21,18,160,178
2019/6/22,27,148,175
2019/6/23,17,100,117
2019/6/24,13,137,150
2019/6/25,23,160,183
2019/6/26,38,173,211
2019/6/27,44,162,206
2019/6/28,48,177,225
2019/6/29,10,141,151
2019/6/30,8,101,109
2019/7/1,17,150,167
2019/7/2,29,168,197
2019/7/3,35,179,214
2019/7/4,23,161,184
2019/7/5,18,159,177
2019/7/6,14,124,138
2019/7/7,8,106,114
2019/7/8,16,144,160
2019/7/9,15,139,154
2019/7/10,13,150,163
2019/7/11,16,143,159
2019/7/12,13,146,159
2019/7/13,15,129,144
2019/7/14,9,88,97
2019/7/15,8,106,114
2019/7/16,17,143,160
2019/7/17,23,169,192
2019/7/18,36,171,207
2019/7/19,43,178,221
2019/7/20,12,146,158
2019/7/21,8,113,121
2019/7/22,19,170,189
2019/7/23,30,173,203
2019/7/24,46,174,220
2019/7/25,55,176,231
2019/7/26,55,187,242
2019/7/27,12,171,183
2019/7/28,8,119,127
2019/7/29,56,185,241
2019/7/30,57,188,245
2019/7/31,54,187,241
2019/8/1,56,196,252
2019/8/2,57,180,237
2019/8/3,15,174,189
2019/8/4,14,144,158
2019/8/5,56,188,244
2019/8/6,53,190,243
2019/8/7,57,193,250
2019/8/8,54,189,243
2019/8/9,56,192,248
2019/8/10,16,164,180
2019/8/11,14,124,138
2019/8/12,14,136,150
2019/8/13,55,188,243
2019/8/14,54,184,238
2019/8/15,56,187,243
2019/8/16,53,181,234
2019/8/17,17,172,189
2019/8/18,13,133,146
2019/8/19,53,174,227
2019/8/20,54,182,236
2019/8/21,53,184,237
2019/8/22,50,175,225
2019/8/23,54,183,237
2019/8/24,15,148,163
2019/8/25,15,116,131
2019/8/26,49,177,226
2019/8/27,50,179,229
2019/8/28,54,178,232
2019/8/29,55,182,237
2019/8/30,50,173,223
2019/8/31,15,171,186
2019/9/1,15,126,141
2019/9/2,57,184,241
2019/9/3,54,170,224
2019/9/4,29,176,205
2019/9/5,47,179,226
2019/9/6,54,178,232
2019/9/7,15,150,165
2019/9/8,14,125,139
2019/9/9,52,170,222
2019/9/10,55,189,244
2019/9/11,57,177,234
2019/9/12,52,182,234
2019/9/13,24,182,206
2019/9/14,16,136,152
2019/9/15,14,120,134
2019/9/16,14,131,145
2019/9/17,46,182,228
2019/9/18,19,172,191
2019/9/19,27,168,195
2019/9/20,25,159,184
2019/9/21,14,118,132
2019/9/22,17,87,104
2019/9/23,15,140,155
2019/9/24,47,171,218
2019/9/25,35,178,213
2019/9/26,28,177,205
2019/9/27,32,175,207
2019/9/28,15,136,151
2019/9/29,14,116,130
2019/9/30,43,168,211
2019/10/1,39,182,221
2019/10/2,36,165,201
2019/10/3,33,163,196
2019/10/4,40,169,209
2019/10/5,13,147,160
2019/10/6,11,87,98
2019/10/7,16,153,169
2019/10/8,22,154,176
2019/10/9,16,150,166
2019/10/10,15,156,171
2019/10/11,15,150,165
2019/10/12,8,52,60
2019/10/13,7,69,76
2019/10/14,8,98,106
2019/10/15,14,125,139
2019/10/16,10,105,115
2019/10/17,8,109,117
2019/10/18,8,104,112
2019/10/19,9,92,101
2019/10/20,7,78,85
2019/10/21,11,113,124
2019/10/22,8,62,70
2019/10/23,10,121,131
2019/10/24,8,99,107
2019/10/25,11,105,116
2019/10/26,7,98,105
2019/10/27,8,69,77
2019/10/28,9,99,108
2019/10/29,7,96,103
2019/10/30,10,93,103
2019/10/31,11,82,93
2019/11/1,9,91,100
2019/11/2,7,87,94
2019/11/3,8,61,69
2019/11/4,8,87,95
2019/11/5,8,95,103
2019/11/6,10,94,104
2019/11/7,7,89,96
2019/11/8,10,88,98
2019/11/9,7,93,100
2019/11/10,7,69,76
2019/11/11,0,0,0
2019/11/12,10,78,88
2019/11/13,8,92,100
2019/11/14,8,79,87
2019/11/15,10,87,97
2019/11/16,8,86,94
2019/11/17,8,77,85
2019/11/18,8,92,100
2019/11/19,9,79,88
2019/11/20,8,95,103
2019/11/21,8,92,100
2019/11/22,28,111,139
2019/11/23,9,113,122
2019/11/24,10,80,90
2019/11/25,8,92,100
2019/11/26,31,88,119
2019/11/27,37,88,125
2019/11/28,36,95,131
2019/11/29,36,104,140
2019/11/30,18,93,111
2019/12/1,9,98,107
2019/12/2,43,114,157
2019/12/3,25,101,126
2019/12/4,36,115,151
2019/12/5,39,104,143
2019/12/6,47,125,172
2019/12/7,19,142,161
2019/12/8,8,100,108
2019/12/9,49,123,172
2019/12/10,39,102,141
2019/12/11,35,112,147
2019/12/12,23,100,123
2019/12/13,40,121,161
2019/12/14,19,105,124
2019/12/15,10,109,119
2019/12/16,39,104,143
2019/12/17,41,115,156
2019/12/18,35,104,139
2019/12/19,40,108,148
2019/12/20,39,102,141
2019/12/21,20,129,149
2019/12/22,10,117,127
2019/12/23,42,128,170
2019/12/24,19,126,145
2019/12/25,44,144,188
2019/12/26,0,0,0
2019/12/27,40,132,172
2019/12/28,13,119,132
2019/12/29,9,78,87
2019/12/30,9,71,80
2019/12/31,9,64,73
2020/1/1,11,51,62
2020/1/2,9,52,61
2020/1/3,38,49,87
2020/1/4,16,129,145
2020/1/5,9,116,125
2020/1/6,45,145,190
2020/1/7,46,144,190
2020/1/8,48,157,205
2020/1/9,38,116,154
2020/1/10,41,125,166
2020/1/11,16,139,155
2020/1/12,9,106,115
2020/1/13,11,128,139
2020/1/14,39,130,169
2020/1/15,40,135,175
2020/1/16,41,121,162
2020/1/17,39,115,154
2020/1/18,16,152,168
2020/1/19,9,122,131
2020/1/20,40,123,163
2020/1/21,41,111,152
2020/1/22,46,142,188
2020/1/23,46,149,195
2020/1/24,38,111,149
2020/1/25,17,144,161
2020/1/26,13,140,153
2020/1/27,46,138,184
2020/1/28,48,147,195
2020/1/29,31,119,150
2020/1/30,31,118,149
2020/1/31,41,110,151
2020/2/1,16,122,138
2020/2/2,14,113,127
2020/2/3,38,127,165
2020/2/4,39,129,168
2020/2/5,37,134,171
2020/2/6,49,136,185
2020/2/7,44,157,201
2020/2/8,17,123,140
2020/2/9,16,103,119
2020/2/10,48,153,201
2020/2/11,8,138,146
2020/2/12,40,124,164
2020/2/13,34,118,152
2020/2/14,30,92,122
2020/2/15,17,97,114
2020/2/16,9,117,126
2020/2/17,39,103,142
2020/2/18,35,109,144
2020/2/19,35,103,138
2020/2/20,42,108,150
2020/2/21,35,103,138
2020/2/22,15,106,121
2020/2/23,9,81,90
2020/2/24,10,94,104
2020/2/25,37,97,134
2020/2/26,40,126,166
2020/2/27,41,117,158
2020/2/28,40,110,150
2020/2/29,13,90,103
2020/3/1,10,103,113
2020/3/2,41,114,155
2020/3/3,31,96,127
2020/3/4,37,110,147
2020/3/5,38,106,144
2020/3/6,38,108,146
2020/3/7,16,110,126
2020/3/8,12,118,130
2020/3/9,28,118,146
2020/3/10,28,93,121
2020/3/11,20,84,104
2020/3/12,34,95,129
2020/3/13,22,101,123
2020/3/14,17,115,132
2020/3/15,10,91,101
2020/3/16,40,120,160
2020/3/17,42,123,165
2020/3/18,25,110,135
2020/3/19,28,99,127
2020/3/20,8,91,99
2020/3/21,15,95,110
2020/3/22,7,68,75
2020/3/23,31,110,141
2020/3/24,37,110,147
2020/3/25,32,118,150
2020/3/26,21,110,131
2020/3/27,17,96,113
2020/3/28,11,103,114
2020/3/29,13,120,133
2020/3/30,43,113,156
2020/3/31,41,120,161
2020/4/1,32,105,137
2020/4/2,20,102,122
2020/4/3,19,88,107
2020/4/4,15,106,121
2020/4/5,9,99,108
2020/4/6,24,94,118
2020/4/7,19,91,110
2020/4/8,19,99,118
2020/4/9,16,98,114
2020/4/10,23,108,131
2020/4/11,15,108,123
2020/4/12,10,101,111
2020/4/13,39,123,162
2020/4/14,27,111,138
2020/4/15,22,86,108
2020/4/16,27,91,118
2020/4/17,23,91,114
2020/4/18,13,112,125
2020/4/19,11,78,89
2020/4/20,45,89,134
2020/4/21,12,81,93
2020/4/22,20,87,107
2020/4/23,21,88,109
2020/4/24,23,89,112
2020/4/25,14,96,110
2020/4/26,8,55,63
2020/4/27,16,88,104
2020/4/28,17,82,99
2020/4/29,8,82,90
2020/4/30,10,76,86
2020/5/1,11,78,89
2020/5/2,8,71,79
2020/5/3,8,62,70
2020/5/4,8,78,86
2020/5/5,8,84,92
2020/5/6,8,86,94
2020/5/7,11,69,80
2020/5/8,11,76,87
2020/5/9,7,64,71
2020/5/10,9,56,65
2020/5/11,25,121,146
2020/5/12,13,105,118
2020/5/13,22,112,134
2020/5/14,14,111,125
2020/5/15,19,108,127
2020/5/16,8,67,75
2020/5/17,8,61,69
2020/5/18,13,96,109
2020/5/19,11,98,109
2020/5/20,10,89,99
2020/5/21,10,92,102
2020/5/22,9,82,91
2020/5/23,8,75,83
2020/5/24,7,50,57
2020/5/25,14,90,104
2020/5/26,13,104,117
2020/5/27,13,111,124
2020/5/28,15,97,112
2020/5/29,18,102,120
2020/5/30,7,103,110
2020/5/31,11,62,73
2020/6/1,13,114,127
2020/6/2,20,128,148
2020/6/3,30,146,176
2020/6/4,22,144,166
