,日平均設定温度,日最大設定温度,日最小設定温度
2021-12-01,23.55986111111111,24.533333333333335,21.533333333333335
2021-12-02,23.557314814814813,24.7,21.766666666666666
2021-12-03,23.617106481481482,24.8,21.6
2021-12-04,23.635694444444443,24.666666666666668,21.666666666666668
2021-12-05,23.68063657407407,24.733333333333334,21.833333333333332
2021-12-06,23.648171296296297,25.266666666666666,21.566666666666666
2021-12-07,23.466828703703705,24.733333333333334,21.466666666666665
2021-12-08,23.32351851851852,24.533333333333335,21.233333333333334
2021-12-09,23.32825231481481,24.733333333333334,21.266666666666666
2021-12-10,23.323425925925925,24.866666666666667,21.0
2021-12-11,23.686921296296294,25.066666666666666,21.466666666666665
2021-12-12,23.843333333333337,25.066666666666666,21.9
2021-12-13,23.82146990740741,25.833333333333332,21.666666666666668
2021-12-14,23.945092592592587,25.533333333333335,21.466666666666665
2021-12-15,23.682916666666667,25.266666666666666,21.433333333333334
2021-12-16,23.58499999999999,25.433333333333334,21.333333333333332
2021-12-17,23.443622685185183,25.033333333333335,21.133333333333333
2021-12-18,23.48258101851852,24.966666666666665,21.266666666666666
2021-12-19,23.63256944444445,25.266666666666666,21.5
2021-12-20,23.4296875,25.233333333333334,20.966666666666665
2021-12-21,23.47365740740741,24.833333333333332,21.266666666666666
2021-12-22,23.334560185185182,24.666666666666668,20.933333333333334
2021-12-23,23.265949074074072,24.966666666666665,20.8
2021-12-24,23.458726851851846,25.166666666666668,20.9
2021-12-25,23.58914351851852,24.8,21.333333333333332
2021-12-26,23.764699074074073,24.966666666666665,21.666666666666668
2021-12-27,23.869861111111113,25.366666666666667,21.566666666666666
2021-12-28,24.023541666666667,25.4,21.333333333333332
2021-12-29,24.13222222222223,25.466666666666665,21.933333333333334
2021-12-30,24.136805555555558,25.366666666666667,22.133333333333333
2021-12-31,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-01,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-02,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-03,24.15555555555556,25.333333333333332,22.133333333333333
2022-01-04,24.159583333333334,25.466666666666665,21.7
2022-01-05,24.17194444444444,25.433333333333334,22.1
2022-01-06,24.45458333333333,25.866666666666667,22.133333333333333
2022-01-07,24.499537037037037,25.933333333333334,22.333333333333332
2022-01-08,24.487129629629628,25.533333333333335,22.466666666666665
2022-01-09,24.41243055555555,25.566666666666666,22.2
2022-01-10,24.189641203703705,25.366666666666667,21.933333333333334
2022-01-11,24.13576599326599,25.3,21.966666666666665
2022-01-12,24.17951388888889,25.5,21.9
2022-01-13,24.06466435185185,25.4,21.7
2022-01-14,24.04966435185185,25.466666666666665,21.833333333333332
2022-01-15,24.279513888888882,25.633333333333333,22.066666666666666
2022-01-16,24.164745370370373,25.733333333333334,21.8
2022-01-17,24.063750000000006,25.533333333333335,21.833333333333332
2022-01-18,24.29262731481481,25.666666666666668,21.9
2022-01-19,24.318611111111114,25.6,21.966666666666665
2022-01-20,24.258078703703706,25.5,21.966666666666665
2022-01-21,24.29715277777778,25.866666666666667,22.033333333333335
2022-01-22,24.539791666666666,26.166666666666668,22.133333333333333
2022-01-23,24.5809375,26.366666666666667,22.333333333333332
2022-01-24,24.18179398148148,26.0,21.466666666666665
2022-01-25,24.231331018518517,25.466666666666665,22.066666666666666
2022-01-26,24.15594907407407,25.466666666666665,21.833333333333332
2022-01-27,24.01851851851852,25.5,21.633333333333333
2022-01-28,23.910324074074076,25.483333333333334,21.433333333333334
2022-01-29,23.961866582491588,25.35,21.466666666666665
2022-01-30,24.10131944444445,25.45,21.766666666666666
2022-01-31,23.921504629629627,25.466666666666665,21.2
2022-02-01,23.940069444444443,25.233333333333334,21.2
2022-02-02,24.013680555555556,25.233333333333334,21.633333333333333
2022-02-03,24.046064814814812,25.366666666666667,21.6
2022-02-04,24.015370370370366,25.3,21.666666666666668
2022-02-05,24.17840277777778,25.383333333333333,22.0
2022-02-06,24.333333333333332,25.783333333333335,22.133333333333333
2022-02-07,24.170717592592595,25.75,21.666666666666668
2022-02-08,24.063009259259257,25.5,21.6
2022-02-09,24.126921296296292,25.466666666666665,21.8
2022-02-10,24.323726851851852,25.766666666666666,22.0
2022-02-11,24.45565972222222,25.833333333333332,22.233333333333334
2022-02-12,24.43111111111111,25.633333333333333,22.133333333333333
2022-02-13,24.500034722222214,26.1,22.166666666666668
2022-02-14,24.319768518518515,25.8,22.0
2022-02-15,24.221249999999994,25.766666666666666,22.033333333333335
2022-02-16,24.24472222222222,25.666666666666668,22.0
2022-02-17,24.298865740740744,25.65,22.1
2022-02-18,24.359375000000007,25.916666666666668,22.0
2022-02-19,24.579722222222227,25.816666666666666,22.333333333333332
2022-02-20,24.649467592592593,25.95,22.433333333333334
2022-02-21,24.39054398148148,26.033333333333335,21.966666666666665
2022-02-22,24.171481481481475,25.466666666666665,22.066666666666666
2022-02-23,24.251631944444448,25.783333333333335,22.033333333333335
2022-02-24,24.279363425925922,25.75,21.766666666666666
2022-02-25,24.25074074074074,25.616666666666667,21.7
2022-02-26,24.165,25.583333333333332,21.9
2022-02-27,24.241076388888885,25.85,21.933333333333334
2022-02-28,24.33835648148148,25.85,22.0
2022-03-01,24.349236111111114,25.916666666666668,21.933333333333334
2022-03-02,24.10736111111111,25.65,21.933333333333334
2022-03-03,24.166412037037038,25.783333333333335,22.033333333333335
2022-03-04,23.958333333333332,25.683333333333334,21.433333333333334
2022-03-05,23.95201388888889,25.483333333333334,21.866666666666667
2022-03-06,24.03326388888889,25.516666666666666,21.9
2022-03-07,24.05565972222222,25.683333333333334,21.566666666666666
2022-03-08,23.97079861111111,25.783333333333335,21.633333333333333
2022-03-09,23.920509259259255,25.516666666666666,21.166666666666668
2022-03-10,23.807025462962965,25.283333333333335,21.2
2022-03-11,23.78388888888889,25.216666666666665,21.566666666666666
2022-03-12,23.987569444444443,25.45,21.9
2022-03-13,24.035833333333333,25.383333333333333,22.066666666666666
2022-03-14,23.784178240740736,25.35,21.633333333333333
2022-03-15,23.676018518518518,25.116666666666667,21.6
2022-03-16,23.673888888888886,24.95,21.733333333333334
2022-03-17,23.675590277777776,24.95,21.7
2022-03-18,23.857499999999998,25.466666666666665,21.6
2022-03-19,23.755208333333336,25.016666666666666,21.833333333333332
2022-03-20,23.761215277777783,25.016666666666666,21.966666666666665
2022-03-21,23.776180555555563,25.083333333333332,21.866666666666667
2022-03-22,23.31039351851852,25.15,20.633333333333333
2022-03-23,23.06200231481481,25.216666666666665,20.9
2022-03-24,23.36226851851852,24.75,21.033333333333335
2022-03-25,23.598414351851847,25.116666666666667,21.333333333333332
2022-03-26,23.586875000000003,24.65,21.933333333333334
2022-03-27,23.558240740740743,24.65,22.033333333333335
2022-03-28,23.55317129629629,24.616666666666667,21.6
2022-03-29,23.572719907407407,24.616666666666667,21.733333333333334
2022-03-30,23.563495370370372,24.616666666666667,21.766666666666666
2022-03-31,23.64605324074074,24.783333333333335,21.766666666666666
