,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,定格5%発揮時間数(冷房),全負荷運転時間数(冷房),夏期平均設定温度,夏期最高設定温度,夏期最低設定温度,夏期最高設定温度-夏期平均設定温度,夏期平均設定温度-夏期最低設定温度,夏期最高設定温度-夏期最低設定温度,夏期平均室内温度,夏期最高室内温度,夏期最低室内温度,夏期最高室内温度-夏期平均室内温度,夏期平均室内温度-夏期最低室内温度,夏期最高室内温度-夏期最低室内温度,夏期入力比
EHPK-1,RXYP450AA,1,共用,0,0,0,1,共用,0,13.6,6.23,13.5,45,22.5,50,331,1194,0,25.09312386,26,23.33333333,0.906876138,1.759790528,2.666666667,26.13242828,29.5,20.43333333,3.367571721,5.699094945,9.066666667,0.003741512
EHPK-2,RXYP224AA,2,共用,0,0,0,2,共用,0,5.24,2.29,6.33,22.4,11.2,25,78,131,0,25,25,25,0,0,0,25.60471311,29.43333333,18.13333333,3.828620219,7.471379781,11.3,0.001622268
EHPK-3,RXYP224AA,2,共用,0,0,0,5,共用,0,5.24,2.29,6.33,22.4,11.2,25,77,130,0,25,25,25,0,0,0,27.24231557,32.8,19.86666667,5.557684426,7.375648907,12.93333333,0.001609884
GHEX-1,RXYP224AA,2,共用,0,0,0,1,外気処理,0,5.24,2.29,6.33,22.4,11.2,25,282,581,2,24.5973108,26.045,22.26611111,1.447689205,2.331199684,3.778888889,25.7744877,29.66666667,17.7,3.892178962,8.074487705,11.96666667,0.014502644
GHEX-2,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,517,0,24.5973108,26.045,22.26611111,1.447689205,2.331199684,3.778888889,25.75928962,31.95,21.95,6.190710383,3.809289617,10,0.018935605
GHEX-3,RXYP140AA,3,共用,0,0,0,2,外気処理,0,3.36,1.54,3.88,14,7,16,151,488,0,24.5973108,26.045,22.26611111,1.447689205,2.331199684,3.778888889,25.84354508,30.85,21.1,5.006454918,4.743545082,9.75,0.021730866
GHEX-4,RXYP140AA,3,共用,0,0,0,4,外気処理,0,3.36,1.54,3.88,14,7,16,151,373,0,24.5973108,26.045,22.26611111,1.447689205,2.331199684,3.778888889,26.22496158,31.35416667,20.675,5.129205089,5.549961578,10.67916667,0.012563427
GHEX-5,RXYP140AA,3,共用,0,0,0,5,外気処理,0,3.36,1.54,3.88,14,7,16,156,640,0,24.5973108,26.045,22.26611111,1.447689205,2.331199684,3.778888889,27.52252391,32.95,21.95,5.427476093,5.572523907,11,0.026922936
EHP1-1,RXYP690AA,4,南東,0.707106,-0.707106,-1,1,研修室,1,19.5,8.93,21,69,34.5,77.5,313,1117,5,25.1579918,27.4,20,2.242008197,5.157991803,7.4,25.34743852,27.82,20.06,2.472561475,5.287438525,7.76,0.004784048
EHP1-2,RXYP450AA,1,北西,-0.707106,0.707106,-1,1,応接室,1,13.6,6.23,13.5,45,22.5,50,225,1432,0,25.57172131,28,21.25,2.428278689,4.321721311,6.75,25.98343579,28.2,19,2.216564208,6.983435792,9.2,0.006320315
EHP1-3,RXYP500AA,5,北東,0.707106,0.707106,1,1,受付,1,15.9,7.28,16.6,50,25,56,250,2900,0,25.89284495,28.25,22.5,2.357155055,3.392844945,5.75,25.70386783,27.8,20,2.096132172,5.703867828,7.8,0.007590774
EHP2-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,2,事務室,1,13.6,6.23,13.5,45,22.5,50,263,1137,0,25.98201275,27,24.66666667,1.01798725,1.315346084,2.333333333,26.25894809,28.26666667,15.43333333,2.007718579,10.82561475,12.83333333,0.004997388
EHP2-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,2,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,1305,20,24.71946721,28,20.6,3.280532787,4.119467213,7.4,25.24998634,27.82,13.7,2.570013661,11.54998634,14.12,0.007302998
EHP2-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,2,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1336,0,25.27817623,26,24,0.72182377,1.27817623,2,25.67537568,27.7,18.7,2.024624317,6.975375683,9,0.008813166
EHP2-4,RXYP615AA,8,北東,0.707106,0.707106,1,2,事務室,1,16.3,7.47,18,61.5,30.75,69,351,1714,0,25.23522883,27.75,24.25,2.514771175,0.985228825,3.5,25.60568648,27.625,16.25,2.019313525,9.355686475,11.375,0.007394859
EHP2-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,2,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,1155,0,25.05652322,25.5,22.5,0.443476776,2.556523224,3,25.32889344,30.75,15.75,5.421106557,9.578893443,15,0.007158943
EHP2-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,2,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,774,13,25.79747268,28,20,2.202527322,5.797472678,8,26.04422814,28.8,21,2.755771858,5.044228142,7.8,0.016008244
EHP3-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,3,事務室,1,13.6,6.23,13.5,45,22.5,50,263,1046,0,23.24032332,25.66666667,22,2.426343352,1.240323315,3.666666667,24.66326275,27,9.066666667,2.33673725,15.59659608,17.93333333,0.005920273
EHP3-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,3,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,1110,33,23.02233607,24.6,21.4,1.577663934,1.622336066,3.2,24.80422131,27.2,17.88,2.395778689,6.924221311,9.32,0.007753051
EHP3-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,3,製本室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1299,516,20,20,20,0,0,0,24.23235997,27.35,17.25,3.117640027,6.982359973,10.1,0.034339325
EHP3-4,RXYP615AA,8,北東,0.707106,0.707106,1,3,製本室,1,16.3,7.47,18,61.5,30.75,69,351,1471,980,20,20,20,0,0,0,24.8983265,27.8,17.45,2.901673497,7.448326503,10.35,0.030900508
EHP3-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,3,製本室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,1276,5,20,20,20,0,0,0,23.77520492,28.2,13.45,4.424795082,10.32520492,14.75,0.021638803
EHP3-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,3,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,1042,1,22.97711749,24,22,1.022882514,0.977117486,2,24.42780055,27.3,19.1,2.872199454,5.327800546,8.2,0.024891936
EHP4-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,4,事務室,1,13.6,6.23,13.5,45,22.5,50,263,1355,9,25.87552671,26.33333333,22.33333333,0.457806628,3.542193372,4,26.48336749,28.9,0,2.416632514,26.48336749,28.9,0.007370269
EHP4-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,4,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,1247,2,25.87821038,26.8,23.4,0.921789617,2.478210383,3.4,26.29771175,29.22,14.04,2.922288251,12.25771175,15.18,0.004718701
EHP4-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1292,0,26.44672131,27.5,25.5,1.053278689,0.946721311,2,27.81501025,33.3,18.85,5.484989754,8.965010246,14.45,0.012728927
EHP4-4,RXYP615AA,8,北東,0.707106,0.707106,1,4,事務室,1,16.3,7.47,18,61.5,30.75,69,351,1435,80,26.41769126,27.5,24.5,1.082308743,1.917691257,3,27.68165984,33.15,16.95,5.468340164,10.73165984,16.2,0.010401581
EHP4-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,994,0,26.17588798,28.25,21,2.074112022,5.175887978,7.25,27.36436134,31.5,17.9,4.135638661,9.464361339,13.6,0.007777079
EHP4-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,4,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,1157,75,25.80191257,29,23,3.198087432,2.801912568,6,26.54655055,28.9,19.2,2.353449454,7.346550546,9.7,0.034190808
EHP5-1,RXYP560AA,9,南西,-0.707106,-0.707106,1,5,共用,1,15.4,7.05,16.7,56,28,63,263,1473,27,22.22411202,25.6,18,3.375887978,4.224112022,7.6,25.6143306,29.46,14.6,3.845669399,11.0143306,14.86,0.007332029
EHP5-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,5,共用,1,21.4,9.8,23.7,73,36.5,82.5,450,1401,7,25.04125683,27.4,21.8,2.358743169,3.241256831,5.6,25.89541667,29.58,17.34,3.684583333,8.555416667,12.24,0.007468815
EHP5-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,5,共用,1,5.24,2.29,6.33,22.4,11.2,25,64,628,0,25.33230874,27,22,1.667691257,3.332308743,5,27.47223361,32.8,18.4,5.327766393,9.072233607,14.4,0.013423956
EHP6-1,RXYP500AA,5,南西,-0.707106,-0.707106,1,6,共用,1,15.9,7.28,16.6,50,25,56,206,1518,0,25.19818011,27.5,22.25,2.301819891,2.948180109,5.25,27.83578808,35.0375,0,7.201711919,27.83578808,35.0375,0.005824698
EHP6-2,RXYP800AA,10,南東,0.707106,-0.707106,-1,6,共用,1,24.5,11.2,26.1,80,40,90,450,928,0,24.27605874,25.3,21.7,1.023941257,2.576058743,3.6,28.59788593,35.65,22.88,7.052114071,5.717885929,12.77,0.003311726
EHP6-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,6,共用,1,5.24,2.29,6.33,22.4,11.2,25,61,308,10,26.22711749,27,24,0.772882514,2.227117486,3,29.58275273,37.95,22.35,8.367247268,7.232752732,15.6,0.00716431
