,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-06-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0
2021-06-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0
2021-06-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0
2021-06-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0
2021-06-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,5.0,6.0,4.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0
2021-06-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,8.0,7.0,6.0,9.0,8.0,8.0,6.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0
2021-06-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,7.0,7.0,6.0,7.0,4.0,6.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0
2021-06-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,8.0,8.0,9.0,7.0,9.0,6.0,2.0,6.0,1.0,4.0,0.0,0.0
2021-06-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,5.0,10.0,8.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-06-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0
2021-06-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,7.0,6.0,7.0,11.0,7.0,7.0,7.0,6.0,4.0,6.0,1.0,3.0,3.0,0.0
2021-06-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,6.0,6.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0
2021-06-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
2021-06-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0
2021-06-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,7.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-06-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0
2021-06-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0
2021-06-23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0
2021-06-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,4.0,4.0,7.0,5.0,4.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0
2021-06-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0
2021-06-26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,15.0,19.0,8.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,8.0,14.0,12.0,9.0,10.0,1.0,2.0,0.0,1.0,0.0,0.0
2021-06-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,5.0,8.0,10.0,10.0,4.0,3.0,1.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0
2021-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,8.0,2.0,2.0,0.0,0.0
2021-07-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-07-03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0
2021-07-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,6.0,7.0,8.0,10.0,10.0,4.0,6.0,6.0,0.0,0.0,0.0,1.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,4.0,3.0,1.0,0.0
2021-07-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,4.0,7.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,7.0,6.0,5.0,5.0,7.0,6.0,4.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0
2021-07-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,12.0,8.0,9.0,9.0,8.0,6.0,5.0,4.0,4.0,0.0,0.0,1.0,0.0
2021-07-11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,6.0,7.0,8.0,7.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,20.0,15.0,22.0,20.0,12.0,9.0,7.0,9.0,4.0,5.0,5.0,7.0,0.0,0.0
2021-07-13,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,8.0,10.0,7.0,9.0,9.0,9.0,7.0,8.0,6.0,6.0,1.0,0.0,0.0,0.0
2021-07-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,9.0,10.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,8.0,1.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,11.0,7.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,0.0,0.0,1.0,0.0
2021-07-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,10.0,13.0,20.0,17.0,12.0,12.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,12.0,11.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-07-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,14.0,9.0,11.0,17.0,17.0,14.0,14.0,13.0,10.0,7.0,11.0,0.0,6.0,0.0,0.0
2021-07-20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,11.0,13.0,12.0,24.0,18.0,14.0,12.0,12.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0
2021-07-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,16.0,10.0,10.0,8.0,23.0,21.0,14.0,11.0,10.0,11.0,13.0,7.0,0.0,0.0,0.0,0.0
2021-07-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-07-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,16.0,13.0,13.0,10.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,10.0,12.0,9.0,7.0,7.0,7.0,6.0,0.0,1.0,3.0,5.0,0.0,1.0
2021-07-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-07-26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,21.0,22.0,15.0,19.0,16.0,17.0,15.0,10.0,9.0,9.0,9.0,2.0,9.0,0.0,0.0
2021-07-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,8.0,0.0,0.0,1.0,0.0
2021-07-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,13.0,14.0,16.0,25.0,26.0,17.0,17.0,11.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0
2021-07-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,11.0,13.0,10.0,16.0,13.0,10.0,10.0,8.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0
2021-07-30,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,7.0,10.0,10.0,11.0,14.0,16.0,13.0,10.0,9.0,6.0,7.0,1.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,10.0,11.0,11.0,8.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0
2021-08-01,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,8.0,7.0,9.0,8.0,9.0,6.0,6.0,9.0,9.0,8.0,0.0,0.0,0.0,1.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,15.0,11.0,12.0,16.0,22.0,15.0,14.0,12.0,7.0,6.0,9.0,6.0,7.0,0.0,0.0
2021-08-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,15.0,13.0,9.0,11.0,16.0,11.0,13.0,13.0,10.0,11.0,14.0,0.0,1.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,17.0,17.0,24.0,23.0,17.0,15.0,11.0,10.0,12.0,13.0,0.0,0.0,1.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,15.0,11.0,10.0,15.0,15.0,22.0,18.0,18.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,13.0,11.0,13.0,21.0,20.0,13.0,14.0,12.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0
2021-08-07,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,11.0,10.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0
2021-08-08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,9.0,11.0,12.0,10.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0,24.0,23.0,22.0,21.0,21.0,20.0,18.0,18.0,15.0,10.0,11.0,0.0,1.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0,4.0,7.0,1.0,0.0,0.0,0.0
2021-08-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,14.0,11.0,12.0,11.0,10.0,11.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-08-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-08-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,7.0,6.0,0.0,0.0,1.0,0.0
2021-08-17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,5.0,8.0,6.0,3.0,6.0,8.0,5.0,5.0,4.0,5.0,0.0,0.0,1.0,0.0
2021-08-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,12.0,12.0,10.0,11.0,9.0,10.0,12.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,13.0,14.0,20.0,14.0,13.0,12.0,9.0,10.0,4.0,8.0,0.0,0.0,0.0,1.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,12.0,17.0,17.0,22.0,19.0,13.0,12.0,11.0,9.0,5.0,6.0,1.0,0.0,0.0,0.0
2021-08-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-08-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,9.0,10.0,9.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,10.0,11.0,13.0,10.0,9.0,7.0,6.0,5.0,6.0,1.0,5.0,0.0,0.0
2021-08-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,11.0,11.0,11.0,14.0,14.0,13.0,13.0,14.0,10.0,6.0,7.0,0.0,0.0,0.0,0.0
2021-08-25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,10.0,9.0,23.0,26.0,24.0,17.0,14.0,13.0,8.0,9.0,0.0,0.0,0.0,0.0
2021-08-26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,18.0,17.0,18.0,21.0,18.0,16.0,16.0,17.0,15.0,11.0,12.0,0.0,0.0,0.0,1.0
2021-08-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.0,21.0,22.0,18.0,25.0,19.0,17.0,17.0,15.0,13.0,7.0,10.0,1.0,0.0,0.0,0.0
2021-08-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,9.0,13.0,18.0,18.0,18.0,15.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-08-29,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,9.0,7.0,11.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-08-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,15.0,15.0,15.0,26.0,21.0,19.0,15.0,9.0,10.0,6.0,8.0,1.0,10.0,0.0,0.0
2021-08-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,9.0,10.0,9.0,14.0,15.0,10.0,10.0,10.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0
2021-09-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,7.0,6.0,4.0,4.0,3.0,4.0,7.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0
2021-09-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,0.0,0.0,0.0,1.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,7.0,4.0,6.0,2.0,3.0,5.0,6.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,5.0,3.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-09-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
2021-09-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,8.0,4.0,7.0,4.0,6.0,7.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0
2021-09-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,5.0,7.0,4.0,6.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,6.0,10.0,12.0,9.0,7.0,8.0,6.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0
2021-09-11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0
2021-09-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,2.0,3.0,0.0,1.0,0.0,0.0
2021-09-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,7.0,6.0,6.0,8.0,11.0,11.0,9.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
2021-09-16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,8.0,10.0,9.0,9.0,8.0,9.0,7.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0
2021-09-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,1.0
2021-09-18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,5.0,6.0,4.0,5.0,5.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-09-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,7.0,6.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,6.0,6.0,8.0,10.0,10.0,10.0,8.0,8.0,4.0,5.0,0.0,0.0,1.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,7.0,8.0,8.0,7.0,10.0,9.0,11.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,12.0,10.0,7.0,8.0,8.0,8.0,10.0,8.0,7.0,1.0,0.0,3.0,4.0,0.0,0.0
2021-09-25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-09-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-09-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,4.0,6.0,8.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0
2021-09-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,8.0,7.0,7.0,6.0,4.0,7.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0
2021-09-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,8.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,6.0,4.0,9.0,7.0,4.0,4.0,6.0,5.0,2.0,6.0,1.0,0.0,0.0,0.0
